Year,Oil,Gas,Coal,Nuclear,Hydro,Renewable
1965,65.2806,-0.042,-0.042,0.2436,8.7402,0.1722
1966,70.2954,-0.042,-0.042,0.3276,9.3744,0.189
1967,75.3228,-0.042,-0.042,0.4032,9.5928,0.189
1968,81.774,-0.042,-0.042,0.4998,10.0632,0.21
1969,88.662,-0.042,-0.042,0.6048,10.668,0.2226
1970,96.2934,35.1876,-0.042,0.7434,11.1636,0.2436
1971,102.018,37.6278,-0.042,1.0458,11.6088,0.2646
1972,109.8384,39.4926,-0.042,1.4322,12.1338,0.2856
1973,118.4064,41.3952,-0.042,1.9278,12.285,0.3066
1974,116.697,42.294,-0.042,2.5032,13.4862,0.3234
1975,115.5126,42.4242,-0.042,3.4608,13.6878,0.3276
1976,123.06,44.2722,-0.042,4.1202,13.6416,0.3654
1977,127.2558,46.1286,-0.042,5.0904,13.9944,0.3864
1978,131.6364,47.6868,-0.042,5.8842,15.099,0.4074
1979,133.854,50.9082,-0.042,6.0774,15.8466,0.4368
1980,128.583,51.5802,-0.042,6.762,16.1448,0.4704
1981,123.9252,52.4748,77.4984,7.9464,16.3968,0.504
1982,120.1032,52.7562,80.2158,8.7108,17.0772,0.5838
1983,119.343,53.2266,79.9638,9.7818,17.8584,0.6468
1984,122.094,57.7878,83.4582,11.8272,18.4464,0.7224
1985,121.7118,59.3628,87.2718,14.1498,18.8118,0.7392
1986,125.4078,60.9252,89.3214,15.1578,19.0722,0.8148
1987,127.9488,63.9702,91.0392,16.485,19.3368,0.8736
1988,132.1488,66.8136,93.2652,17.976,19.95,0.8988
1989,134.337,69.111,94.9242,18.4842,19.8282,1.0164
1990,136.5546,71.253,94.5714,19.0134,20.538,1.1466
1991,136.5672,72.1308,92.0262,19.9206,21.0336,1.197
1992,138.9024,72.3156,91.9086,20.0718,21.0168,1.2894
1993,138.0372,73.1262,89.187,20.7648,22.2768,1.3398
1994,141.0948,74.1762,91.3206,21.1554,22.4238,1.4028
1995,142.9596,75.4026,94.0884,22.071,23.6544,1.47
1996,146.3364,79.0692,95.6046,22.8732,23.9862,1.5162
1997,150.129,79.0566,96.9864,22.7178,24.4188,1.6506
1998,150.906,81.144,95.214,23.1084,24.6204,1.7598
1999,153.6024,83.475,95.2434,23.9904,24.7884,1.8942
2000,155.4966,86.7636,96.6378,24.528,25.2294,2.0706
2001,156.9078,88.8258,100.716,25.221,24.5826,2.1966
2002,158.2686,90.8586,101.9508,25.6242,25.0278,2.4696
2003,161.8302,94.1094,109.4184,25.1034,24.9816,2.6838
2004,167.9412,97.188,118.8978,26.2038,26.6616,3.066
2005,170.142,99.4938,126.4242,26.3172,27.7116,3.4524
2006,172.3302,102.8748,132.8754,26.6448,28.7616,3.9018
2007,174.8838,105.5166,138.6798,26.103,29.2656,4.4982
2008,174.0018,109.4142,143.22,26.019,30.9456,5.2122
2009,171.0828,106.1214,143.2116,25.6536,30.8868,6.048
2010,176.4798,113.7948,151.2588,26.3004,32.6256,7.1652
2011,178.3194,117.621,162.393,25.2,33.2556,8.5512
2012,180.5076,120.036,164.1822,23.499,34.8474,10.0296
2013,182.7126,121.4556,167.076,23.6796,36.0486,11.865
2014,184.1826,123.9084,166.572,24.1458,36.9054,13.419
2015,187.5636,126.4578,162.1578,24.4776,36.9138,15.477
2016,191.0286,127.9026,153.7536,24.8556,38.1822,17.5056
2017,193.494,132.8166,157.71,25.0782,38.6358,20.5884
2018,195.8082,139.6836,164.5056,25.6746,39.8496,23.5746
